"update_date","days_since_update","user","rows","row_change","columns","column_change","metadata_published","metadata_updates","column_level_metadata","column_level_metadata_updates","archive_link"
"2022-05-05T00:02:00.000","65","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2022-05-04"", ""Program Code"": ""009:041"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2022-05-05T04:01:47.470919Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {""Last Update"": ""2022-05-04"", ""Last Harvest Performed"": ""2022-05-05T04:01:47.470919Z""}, ""additions"": {}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2021-07-01T23:10:53.000","0","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2021-07-01"", ""Program Code"": ""009:041"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2021-07-02T03:00:49.638337Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": [], ""additions"": {""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2021-07-01"", ""Program Code"": ""009:041"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2021-07-02T03:00:49.638337Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}, ""deletions"": []}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2021-11-05T13:16:32.000","127","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2021-11-04"", ""Program Code"": ""009:041"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2021-11-05T17:16:06.625786Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {""Last Update"": ""2021-11-04"", ""Last Harvest Performed"": ""2021-11-05T17:16:06.625786Z""}, ""additions"": {}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2022-05-26T00:02:08.000","21","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Program Code"": ""009:041"", ""Last Update"": ""2022-05-25"", ""Theme"": ""NLM Products and Services"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2022-05-26T04:01:42.070467Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {""Last Harvest Performed"": ""2022-05-26T04:01:42.070467Z"", ""Last Update"": ""2022-05-25""}, ""additions"": {""Theme"": ""NLM Products and Services""}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2022-09-15T00:00:33.000","112","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2022-09-14"", ""Program Code"": ""009:041"", ""Theme"": ""Drugs and Chemicals"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2022-09-15T04:00:16.483257Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {""Last Harvest Performed"": ""2022-09-15T04:00:16.483257Z"", ""Last Update"": ""2022-09-14"", ""Theme"": ""Drugs and Chemicals""}, ""additions"": {}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2022-03-01T23:01:57.000","116","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2022-03-01"", ""Program Code"": ""009:041"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2022-03-02T04:01:52.921456Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {""Last Update"": ""2022-03-01"", ""Last Harvest Performed"": ""2022-03-02T04:01:52.921456Z""}, ""additions"": {}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2022-09-27T00:02:20.000","12","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2022-09-26"", ""Program Code"": ""009:041"", ""Theme"": ""Drugs and Chemicals"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2022-09-27T04:02:02.105571Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {""Last Update"": ""2022-09-26"", ""Last Harvest Performed"": ""2022-09-27T04:02:02.105571Z""}, ""additions"": {}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2022-10-01T00:01:56.000","4","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2022-09-30"", ""Program Code"": ""009:041"", ""Theme"": ""Drugs and Chemicals"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2022-10-01T04:01:28.643384Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {""Last Update"": ""2022-09-30"", ""Last Harvest Performed"": ""2022-10-01T04:01:28.643384Z""}, ""additions"": {}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2023-07-25T21:36:49.000","297","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Program Code"": ""009:041"", ""Last Update"": ""2022-09-30"", ""Theme"": ""Drugs and Chemicals"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2022-10-01T04:01:28.643384Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {}, ""additions"": {}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
"2024-07-20T00:02:10.000","361","Tyler Service Account - HHS",,,,,"{""name"": ""RxNav-in-a-Box"", ""description"": ""RxNav-in-a-Box provides users with a locally-installable RxNav (https://rxnav.nlm.nih.gov/RxNavDoc.html) and RESTful companion APIs, including RxNorm, RxTerms, RxClass, RxCUI history, and drug-drug interactions."", ""additionalAccessPoints"": [{""urls"": {""text/html"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html""}, ""title"": ""RxNav-in-a-Box - Download""}], ""Archive Repository"": ""https://healthdata.gov/d/surq-zzxf"", ""Contact Email"": ""custserv@nlm.nih.gov"", ""Homepage"": ""https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"", ""Contact Name"": ""National Library of Medicine"", ""Issued"": ""2021-06-30"", ""License"": ""http://opendefinition.org/licenses/odc-odbl/"", ""Last Update"": ""2024-07-19"", ""Program Code"": ""009:041"", ""Theme"": ""Drugs and Chemicals"", ""Unique Identifier"": ""https://datadiscovery.nlm.nih.gov/api/views/pai2-u4yd"", ""Publisher"": ""National Library of Medicine"", ""Bureau Code"": ""009:25"", ""Public Access Level"": ""public"", ""Is Harvested Data"": ""Yes"", ""Harvest Source URI"": ""https://datadiscovery.nlm.nih.gov/data.json"", ""Last Harvest Performed"": ""2024-07-20T04:01:48.604627Z"", ""Harvest Source Title"": ""datadiscovery.nlm.nih.gov""}","{""updates"": {""Last Harvest Performed"": ""2024-07-20T04:01:48.604627Z"", ""Last Update"": ""2024-07-19""}, ""additions"": {}, ""deletions"": {}}","[]","[]","https://rxnav.nlm.nih.gov/RxNav-in-a-Box.html"
